
Steps found by force derivative:
filename,orientation,Derivative of,step #,F1,F2,Fc,step start,step end,step length
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,Force,1,11.622106655186206,8.677991948320798,10.150049301753501,947.5477541346839,972.2804806186136,24.732726483929696
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,Force,2,17.909123672779167,17.921613648495704,17.915368660637434,1038.6550694947205,1043.3244346372558,4.669365142535298
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,Force,3,31.39555905281135,30.496197979350985,30.945878516081166,1105.9830501365134,1117.9716190032634,11.988568866750029

Steps found by distance derivative:
filename,orientation,Derivative of,step #,F1,F2,Fc,step start,step end,step length
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,Distance,1,11.63886018656105,8.661586487498816,10.150223337029933,947.6263186815731,972.1898832491526,24.56356456757942
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,Distance,2,17.909123672779167,17.941541270668345,17.925332471723756,1038.6550694947205,1043.4220592373636,4.766989742643091
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,Distance,3,31.41393425466468,30.54069524522375,30.977314749944213,1106.0631976478182,1118.1601583694783,12.096960721660025

Common steps:
filename,orientation,Derivative of,step #,F1,F2,Fc,step start,step end,step length
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,,0,,,,,,
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,Distance,1,11.63886018656105,8.661586487498816,10.150223337029933,947.6263186815731,972.1898832491526,24.56356456757942
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,Distance,2,17.909123672779167,17.941541270668345,17.925332471723756,1038.6550694947205,1043.4220592373636,4.766989742643091
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,Distance,3,31.41393425466468,30.54069524522375,30.977314749944213,1106.0631976478182,1118.1601583694783,12.096960721660025
