Density_Force_refolding_X,Density_Force_refolding_Y,Density_Force_unfolding_X,Density_Force_unfolding_Y,Density_dLc_refolding_X,Density_dLc_refolding_Y,Density_dLc_unfolding_X,Density_dLc_unfolding_Y,Scatter_dLc_unfolding (nm),Scatter_Force_unfolding (pN),Scatter_dLc_refolding (nm),Scatter_Force_refolding (pN),Distance_unfolding (nm),Median_Force_unfolding (pN),Q1_Force_unfolding (pN),Q3_Force_unfolding (pN),Distance_refolding (nm),Median_Force_refolding (pN),Q1_Force_refolding (pN),Q3_Force_refolding (pN)
17.80852529753924,0.6744498563053428,15.000496059557944,0.050954074769186265,7.61841408521507,0.2688825167903536,11.697166497260007,0.029363583440549724,,,,,947.8968726570547,3.748278583368387,1.8669907165914457,8.031581384611837,1056.441115962149,10.312932033828647,2.901880945902195,17.813308236864113
17.809779086363136,0.6769264877625867,15.049918699171275,0.05091034099630797,7.621335387237869,0.26991257780670214,11.747287386166832,0.029424435218855745,,,,,949.0591991472756,3.8414473800194324,1.9094404701939598,8.184018688101988,1057.7711089626277,10.342566195940487,2.9315663144388697,17.86456916369967
17.81103287518703,0.6794003969885576,15.099341338784605,0.05086457011698299,7.624256689260667,0.270942115924123,11.797408275073657,0.02948463712205985,,,,,950.2215256374967,3.9352344296476653,1.9561221635931176,8.329974051793116,1059.1011019631064,10.382914091844997,2.9692520841477648,17.93177159045778
17.812286664010923,0.6818714983915222,15.148763978397938,0.05081676748231529,7.627177991283464,0.2719710998016401,11.847529163980486,0.02954418743196753,,,,,951.3838521277178,4.0202142023063185,1.9927716593485447,8.516170399589857,1060.4310949635849,10.444952046546872,3.0216028278055895,18.028402150480133
17.81354045283482,0.6843397063619183,15.198186618011267,0.05076693859020527,7.630099293306262,0.2729994980671959,11.897650052887311,0.029603084506772397,,,,,952.5461786179387,4.107465381176352,2.0204122739764303,8.69803627184649,1061.7610879640636,10.528277134711304,3.077946862317887,18.19309550838216
17.81479424165871,0.6868049352789486,15.247609257624596,0.05071508908605919,7.633020595329059,0.27402727931981347,11.947770941794136,0.029661326781098424,,,,,953.7085051081598,4.204350410788921,2.0440478398191755,8.827004306552507,1063.0910809645422,10.62425775723904,3.1206605220937265,18.37389610779364
17.816048030482605,0.6892670995171877,15.297031897237929,0.05066122476354021,7.635941897351858,0.2750544121317636,11.997891830700961,0.029718912766025906,,,,,954.8708315983808,4.297488637719857,2.066663936386705,8.814735636789294,1064.421073965021,10.738397980458812,3.1578060145142706,18.565016884046916
17.8173018193065,0.691726113453211,15.346454536851258,0.050605351565359516,7.638863199374654,0.2760808650507408,12.04801271960779,0.029775841049101373,,,,,956.0331580886018,4.384718030556234,2.0884819643375137,8.79910491125112,1065.7510669654996,10.91418604706636,3.1959733367659258,18.850617008731124
17.818555608130396,0.6941818914722374,15.395877176464587,0.05054747558410566,7.641784501397453,0.2771066066020452,12.098133608514615,0.029832110294331193,,,,,957.1954845788229,4.473171108386064,2.1082338695378566,8.785744383852013,1067.081059965978,11.175374255221978,3.2398118625366323,19.262011064471302
17.819809396954287,0.696634347974788,15.44529981607792,0.05048760306311046,7.6447058034202495,0.2781316052907714,12.14825449742144,0.029887719242159216,,,,,958.3578110690438,4.568019886268871,2.125953372583412,8.778152589764161,1068.4110529664567,11.332530282603756,3.2969911160836105,19.50178522204896
