
Steps found by force derivative:
filename,orientation,Derivative of,step #,F1,F2,Fc,step start,step end,step length
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Force,1,18.793410770268984,17.31182751221349,18.052619141241237,1156.1462932968313,1171.83576726207,15.689473965238676
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Force,2,19.77507574015206,15.653250268890622,17.714163004521343,1186.7515052796007,1216.1933976301,29.4418923504993
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Force,3,18.482266534719948,18.346720162712177,18.414493348716064,1236.1862494247198,1245.1649666702692,8.978717245549433

Steps found by distance derivative:
filename,orientation,Derivative of,step #,F1,F2,Fc,step start,step end,step length
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Distance,1,18.721488668794755,17.28345197891069,18.002470323852723,1155.7477469129253,1171.5433634173514,15.795616504426107
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Distance,2,19.792641944874642,15.653250268890622,17.72294610688263,1186.8363272976508,1216.1933976301,29.35707033244921
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Distance,3,17.574931569236316,17.83236940406443,17.703650486650375,1224.5125865369591,1230.6395094658087,6.126922928849581
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Distance,4,18.46341280874244,18.315082921679014,18.389247865210727,1236.0780603237286,1244.9582734115334,8.880213087804805

Common steps:
filename,orientation,Derivative of,step #,F1,F2,Fc,step start,step end,step length
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,,0,,,,,,
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Distance,1,18.721488668794755,17.28345197891069,18.002470323852723,1155.7477469129253,1171.5433634173514,15.795616504426107
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Distance,2,19.792641944874642,15.653250268890622,17.72294610688263,1186.8363272976508,1216.1933976301,29.35707033244921
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Distance,3,18.46341280874244,18.315082921679014,18.389247865210727,1236.0780603237286,1244.9582734115334,8.880213087804805
